Inventory aging report,,,,,,,,,,Page 1 of 1,,,
,,,,,,,,,,"3/27/2026
10:44 AM",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,0-30 (Days),31-60 (Days),61-90 (Days),91-180 (Days),180+ Prior date,,,,
Item number,Product name,Inventory unit,Configuration,On-hand quantity,P1:Quantity,P2:Quantity,P3:Quantity,P4:Quantity,P5:Quantity,,,,
1000001120,26/SCRD,Bag,SPP-05 IN CVC 60/40,90.87,90.00,0.00,0.00,0.87,0.00,,,,
1000001200,28/SCRD,Bag,CRD SAIF-2529 (BLUE HTR IN 100% CTN),267.50,0.00,0.00,0.00,0.00,267.50,,,,
1000001200,28/SCRD,Bag,CRD SAIF-3403 (OATMEAL HTR IN 100% CTN),45.34,0.00,0.00,0.00,0.00,45.34,,,,
1000001280,30/SCRD,Bag,100%  MODAL,94.59,0.00,0.00,50.00,44.59,0.00,,,,
1000001280,30/SCRD,Bag,100% ACRYLIC,"1,693.70",0.00,"1,017.00",676.70,0.00,0.00,,,,
1000001280,30/SCRD,Bag,100% BAMBOO,2.41,2.41,0.00,0.00,0.00,0.00,,,,
1000001280,30/SCRD,Bag,100% MICRO POLYESTER,247.96,0.00,0.00,0.00,0.00,247.96,,,,
1000001280,30/SCRD,Bag,AVT ( 45% ACRYLIC/45A% VISCOSE/10% TRILOBAL POLY),41.00,0.00,0.00,0.00,0.00,41.00,,,,
1000001280,30/SCRD,Bag,AVT 44/44/12,"1,471.89",0.00,0.00,0.00,332.14,"1,139.75",,,,
1000001280,30/SCRD,Bag,CDD CVC 60:40 SAIF P-3421,1.37,0.00,0.00,1.37,0.00,0.00,,,,
1000001280,30/SCRD,Bag,CVC (60%Pak Ctn/40% Poly),450.28,0.00,1.58,0.00,448.70,0.00,,,,
1000001280,30/SCRD,Bag,CVC 60:40,1.00,0.00,0.00,0.00,1.00,0.00,,,,
1000001280,30/SCRD,Bag,CVC 65:35,685.00,685.00,0.00,0.00,0.00,0.00,,,,
1000001280,30/SCRD,Bag,CVC SPP-01,170.29,170.29,0.00,0.00,0.00,0.00,,,,
1000001280,30/SCRD,Bag,MICRO POLYESTER SLUB,1.91,0.00,0.00,0.00,0.00,1.91,,,,
1000001280,30/SCRD,Bag,MP/MV 70/30 MICRO SIRO COMPACT,66.00,0.00,0.00,0.00,66.00,0.00,,,,
1000001280,30/SCRD,Bag,MP/MV 80/20 SIRO COMPACT,162.00,162.00,0.00,0.00,0.00,0.00,,,,
1000001280,30/SCRD,Bag,PC (48% Pak Ctn/52% Poly),463.61,0.00,0.00,0.00,463.61,0.00,,,,
1000001280,30/SCRD,Bag,PC 52:48,1.00,0.00,0.00,0.00,1.00,0.00,,,,
1000001280,30/SCRD,Bag,PV 80/20 COMPACT,125.17,125.17,0.00,0.00,0.00,0.00,,,,
1000001280,30/SCRD,Bag,PV 80/20 S-TWIST YARN,122.00,122.00,0.00,0.00,0.00,0.00,,,,
1000001280,30/SCRD,Bag,PV 90/10 SLUB YARN,57.89,0.00,0.00,0.00,0.00,57.89,,,,
1000001280,30/SCRD,Bag,PVT-80:20,"4,795.75",0.00,118.00,426.00,"1,584.29","2,667.46",,,,
1000001280,30/SCRD,Bag,SAIF P-3415 (CVC 60/40),1.71,0.00,1.71,0.00,0.00,0.00,,,,
1000001280,30/SCRD,Bag,SAIF P-3419,0.33,0.00,0.00,0.33,0.00,0.00,,,,
1000001280,30/SCRD,Bag,SAIF P-3420,0.16,0.00,0.00,0.16,0.00,0.00,,,,
1000001280,30/SCRD,Bag,SAIF P-3457 (PC 50/50),0.17,0.17,0.00,0.00,0.00,0.00,,,,
1000001280,30/SCRD,Bag,SAIF V-3405 A (Otmeal),0.50,0.00,0.00,0.50,0.00,0.00,,,,
1000001280,30/SCRD,Bag,SAIF-3456 (CVC 60:40),6.00,6.00,0.00,0.00,0.00,0.00,,,,
1000001280,30/SCRD,Bag,SP-01,237.00,237.00,0.00,0.00,0.00,0.00,,,,
1000001280,30/SCRD,Bag,SPP-10 (60/40) in CVC,"6,961.37",0.96,0.00,0.00,"1,773.69","5,186.72",,,,
1000001280,30/SCRD,Bag,SPP-40 IN PC 50/50,153.33,153.33,0.00,0.00,0.00,0.00,,,,
1000001280,30/SCRD,Bag,STM-3362 (100% COTTON),0.50,0.00,0.00,0.00,0.00,0.50,,,,
1000001280,30/SCRD,Bag,STMA P-1082,0.29,0.00,0.00,0.29,0.00,0.00,,,,
1000001280,30/SCRD,Bag,STMA-1069 (93/07),0.21,0.21,0.00,0.00,0.00,0.00,,,,
1000001280,30/SCRD,Bag,STMA-P-1078 (CVC 60:40),1.83,0.00,1.83,0.00,0.00,0.00,,,,
1000001280,30/SCRD,Bag,STMA-P-1098 (PC 50/50),7.00,7.00,0.00,0.00,0.00,0.00,,,,
1000001280,30/SCRD,Bag,STMA-P-1114 (PC 50:50),242.08,242.08,0.00,0.00,0.00,0.00,,,,
1000001280,30/SCRD,Bag,TRI BLEND (48% Poly: 32% : Ctn / 20% : Vis ),8.50,8.50,0.00,0.00,0.00,0.00,,,,
1000001300,30/SCMB,Bag,100% CM PAK COTTON,169.19,0.00,0.00,0.00,0.00,169.19,,,,
1000001300,30/SCMB,Bag,CMB TRIBLEND CMV (45% CM CTN/30% MDL/25% VIS),0.50,0.00,0.00,0.00,0.00,0.50,,,,
1000001320,30/DCRD,Bag,PV 80/20 COMPACT,232.00,232.00,0.00,0.00,0.00,0.00,,,,
1000001420,32/SCMB,Bag,100% CM PAK COTTON,57.83,0.00,0.00,0.00,0.00,57.83,,,,
1000001420,32/SCMB,Bag,TRI BLEND (50% CMB CTN/25% HEMP/25% BAMBOO),0.45,0.45,0.00,0.00,0.00,0.00,,,,
1000001469,35/SCRD,Bag,PV 50:50,25.75,0.00,0.00,0.00,25.75,0.00,,,,
1000001480,36/SCRD,Bag,100% MICRO POLYESTER,69.96,0.00,0.00,0.00,0.00,69.96,,,,
1000001480,36/SCRD,Bag,100% MODAL KNITTING WAXED,8.67,0.00,0.00,8.67,0.00,0.00,,,,
