KOHAT TEXTILE MILLS LIMITED,,,,,,,,,
,,,,,,,,,
On-Hand Inventory,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Item,,Item Name,,Configuration,Size ,Color ,Style,Warehouse,Qty
EL71501110,,BOARD ELECTRONIC CIRCUIT FOC,,-,QUAD STEPPER/-,-,-,KTM-MNSTR,2.00
EL71501300,,BOX,,PLASTIC,"-/4""X4""",-,-,KTM-MNSTR,14.00
EL71501500,,BREAKER,,-,-/5KA-10AMP-01 POLE,-,FUJI/JAPAN/-,KTM-MNSTR,23.00
EL71501500,,BREAKER,,-,-/5KA-10AMP-01 POLE,-,TECS/-/-,KTM-MNSTR,21.00
EL71501500,,BREAKER,,-,-/5KA-20AMP-01 POLE,-, ABB/-/-,KTM-MNSTR,20.00
EL71501500,,BREAKER,,-,-/6A~10A-3RV2011-1JA10 3PHAS 1NC+1NO/CIRCUIT,-,SIEMENS/GERMANY/-,KTM-MNSTR,8.00
EL71501500,,BREAKER,,-,CIRCUIT (XE225NC)/150AMP-50KV-03 POLE,-,MITSUBISHI/-/-,KTM-MNSTR,1.00
EL71501500,,BREAKER,,-,CIRCUIT ADJUSTABLE 3VU 1300 IMF00/0.6~1.6A,-,SIEMENS/GERMANY/-,KTM-MNSTR,2.00
EL71501500,,BREAKER,,-,CIRCUIT ADJUSTABLE/6~10A 3 POLE,-,SIEMENS/GERMANY/-,KTM-MNSTR,15.00
EL71501500,,BREAKER,,-,CIRCUIT WITH AUXILIARY ADJUSTABLE/2.1~4.5AMP-3POLE,-,CHNT CHINA/-,KTM-MNSTR,15.00
EL71501500,,BREAKER,,-,CIRCUIT WITH AUXILIARY ADJUSTABLE/4~6AMP-3POLE-GV2ME08,-,TELEMECANIQUE/-/-,KTM-MNSTR,6.00
EL71501500,,BREAKER,,-,CIRCUIT/100AMP-3POLE-30KA,-,MITSUBISHI/JAPAN/-,KTM-MNSTR,1.00
EL71501500,,BREAKER,,-,CIRCUIT/1POLE-10AMP,-,-,KTM-MNSTR,26.00
EL71501500,,BREAKER,,-,CIRCUIT/30AMP -3PHASE -25K,-,-,KTM-MNSTR,8.00
EL71501500,,BREAKER,,-,CIRCUIT/50AMP-3POLE-30KA,-,MITSUBISHI/JAPAN/-,KTM-MNSTR,1.00
EL71501500,,BREAKER,,-,CIRCUIT/50KA- 100AMP- 03 POLE,-,MITSUBISHI/JAPAN/-,KTM-MNSTR,1.00
EL71501500,,BREAKER,,-,CIRCUIT/63AMP -30K,-,SIEMENS/-/-,KTM-MNSTR,3.00
EL71501500,,BREAKER,,-,CIRCUIT/90~125AMP -30K -3POLE,-,MITSUBISHI/-/-,KTM-MNSTR,2.00
EL71501500,,BREAKER,,-,MCB/32A 5KA 2-POLE,-, ABB/-/-,KTM-MNSTR,6.00
EL71501500,,BREAKER,,-,MCB/63A 4.5KA 3-POLE,-,TECS/-/-,KTM-MNSTR,5.00
EL71501500,,BREAKER,,-,MCCB E100SF/32A-5KA-3 POLE,-,TERASAKI/JAPAN/-,KTM-MNSTR,6.00
EL71501500,,BREAKER,,-,MOTOR PROTECTION WITH AUXILIARY/1.6~2.5AMP,-,-,KTM-MNSTR,6.00
EL71501500,,BREAKER,,-,MOTOR PROTECTION WITH AUXILIARY/4~6AMP,-,SIEMENS/GERMANY/-,KTM-MNSTR,9.00
EL71501510,,BREAKER FOC,,-,"CIRCUIT MOTOR/13~18AMP, 3POLE",-,CHINA/SCHNEIDER/B 9589,KTM-MNSTR,2.00
EL71501510,,BREAKER FOC,,-,"CIRCUIT MOTOR/4~6.3AMP, 3POLE",-,CHINA/SCHNEIDER/B 9589,KTM-MNSTR,1.00
EL71501510,,BREAKER FOC,,-,CIRCUIT MOTOR/AR20-02B-A,-,-,KTM-MNSTR,1.00
EL71501510,,BREAKER FOC,,-,"CIRCUIT/2AMP, 2POLE",-,CHINA/SCHNEIDER/B 9589,KTM-MNSTR,2.00
EL71501510,,BREAKER FOC,,-,"CIRCUIT/4AMP, 2POLE",-,CHINA/SCHNEIDER/B 9589,KTM-MNSTR,1.00
EL71501700,,PHOTO CELL,,-,VFM10DT/24~220V,-,SUNX/CHINA/-,KTM-MNSTR,2.00
EL71501720,,PHOTO CELL FOC,,-,DOUBLE COBE APPETCS WITH STATIS/-,-,-,KTM-MNSTR,2.00
EL71501800,,RECEIVER,,-,WITH PROJECTOR/22MM 24V DC,-,-,KTM-MNSTR,1.00
EL71501900,,BULB,,-,-/15W,-,-,KTM-MNSTR,3.00
EL71501900,,BULB,,-,-/5W 12V 1PIN,-,-,KTM-MNSTR,4.00
EL71501900,,BULB,,-,-/5W-24V-2PIN,-,-,KTM-MNSTR,15.00
EL71501900,,BULB,,-,CORONA SPOT/M1,-,JOSSI/SWISS,KTM-MNSTR,2.00
EL71501900,,BULB,,-,FOR BLOW ROOM/130V,-,-,KTM-MNSTR,6.00
EL71501900,,BULB,,-,INDICATOR/220V,-,-,KTM-MNSTR,50.00
EL71501900,,BULB,,-,PIN TYPE/12V -5W,-,-,KTM-MNSTR,5.00
EL71501900,,BULB,,-,PIN TYPE/12V-5W-2PIN,-,-,KTM-MNSTR,38.00
EL71501900,,BULB,,-,PIN TYPE/130C -6W,-,-,KTM-MNSTR,15.00
EL71501900,,BULB,,-,PIN TYPE/B-50,-,-,KTM-MNSTR,10.00
EL71501900,,BULB,,-,SCREW TYPE/12V,-,-,KTM-MNSTR,3.00
EL71501900,,BULB,,-,SCREW TYPE/130V -2W,-,-,KTM-MNSTR,13.00
EL71501900,,BULB,,-,-/15MM-5W-24V AC-1PIN, -, -,KTM-MNSTR,60.00
EL71501900,,BULB,,LED,ENERGY SAVER THREADED/13W 220V,-, PHILIPS/-/-,KTM-MNSTR,55.00
EL71502310,,REFLECTOR,,-,RT-6600/10~30V,-,-,KTM-MNSTR,2.00
EL71502310,,REFLECTOR,,-,RT-6615 /10~30V -DC,-,-,KTM-MNSTR,2.00
EL71502500,,RELAY,,-,-/110V-8PINS,-,-,KTM-MNSTR,15.00
EL71502500,,RELAY,,-,-/12V DC -5PIN,-,-,KTM-MNSTR,20.00
EL71502500,,RELAY,,-,-/EM 11,-,-,KTM-MNSTR,1.00
EL71502500,,RELAY,,-,274P-40/G6A,-,OMRON/JAPAN/-,KTM-MNSTR,38.00
EL71502500,,RELAY,,-,3RE-TPO-0/115~110V -11PIN,-,SA/JAPAN/-,KTM-MNSTR,1.00
EL71502500,,RELAY,,-,"CONTACT/3TF4022 - 0BB4, 220V",-,SIEMENS/-/-,KTM-MNSTR,16.00
EL71502500,,RELAY,,-,CONTROL MY-4Z-14/110V AC-14PIN,-,OMRON/JAPAN/-,KTM-MNSTR,2.00
EL71502500,,RELAY,,-,ELECTRONIC OVERLOAD / 5~60 AMP-180~440V AC,-,-,KTM-MNSTR,13.00
EL71502500,,RELAY,,-,FLASHER/-,-,MITSUBA/JAPAN/-,KTM-MNSTR,1.00
EL71502500,,RELAY,,-,GLASS 55.32 WITH BASE /12V AC -8PIN,-,FINDER/-/-,KTM-MNSTR,13.00
EL71502500,,RELAY,,-,HH54PC/100~110V AC,-,FUJI/JAPAN/-,KTM-MNSTR,2.00
EL71502500,,RELAY,,-,MAGNET/100~500V,-,-,KTM-MNSTR,1.00
EL71502500,,RELAY,,-,MY-2N/110V AC -8PIN,-,OMRON/-/-,KTM-MNSTR,6.00
EL71502500,,RELAY,,-,OVER LOAD /4~6AMP,-,SIEMENS/GERMANY/-,KTM-MNSTR,1.00
EL71502500,,RELAY,,-,OVER LOAD 3TA 2037/4.5AMP,-,-,KTM-MNSTR,1.00
EL71502500,,RELAY,,-,OVER LOAD RC 3737-1/4~8AMP,-,FUJI/JAPAN/-,KTM-MNSTR,1.00
EL71502500,,RELAY,,-,OVER LOAD/0~6AMP,-,-,KTM-MNSTR,6.00
EL71502500,,RELAY,,-,OVERLOAD THERMAL-FT-15E /2~4.2AMP,-,RIXON/USA/-,KTM-MNSTR,5.00
EL71502500,,RELAY,,-,OVERLOAD THERMAL-FT-15E /2~4.2AMP,-,SCHNEIDER/FRANCE/-,KTM-MNSTR,15.00
EL71502500,,RELAY,,-,VOLTAGE MONITORING /-,-,-,KTM-MNSTR,1.00
EL71502500,,RELAY,,GLASS,-/110V-8PINS,-,-,KTM-MNSTR,1.00
EL71502500,,RELAY,,GLASS,-/110V-8PINS,-,FINDER/-/-,KTM-MNSTR,12.00
EL71502500,,RELAY,,GLASS,-/110VAC-14PIN/-,-,-,KTM-MNSTR,12.00
EL71502500,,RELAY,,GLASS,-/12V AC-14PIN,-,-,KTM-MNSTR,3.00
EL71502500,,RELAY,,GLASS,-/12V AC-14PIN,-,FINDER/-/-,KTM-MNSTR,9.00
